,Ubicazione,Circoscrizione,Provincia,Municipio,Full Address,Latitude,Longitude,Community ID Coaliione 1,Community ID Coaliione 2,Community ID Coaliione 3,Quartiere,Media Voti Coal 1,Media Voti Coal 2,Media Voti Coal 3,Popolazione residente totale,Indice di vecchiaia,Incidenza dei giovani fino a 24 anni,Indice di non completamento del ciclo di scuola secondaria di primo grado,Indice di adulti con diploma o titolo terziario,Tasso di occupazione (20-64 anni),Tasso di disoccupazione (15 anni e più),Incidenza dei giovani che non studiano e non lavorano,Incidenza delle famiglie con potenziale disagio economico,Tasso di alloggi impropri,"Incidenza percentuale della popolazione di 67 anni  e oltre che vive da sola, senza casa di proprietà ",Percentuale di famiglie che non vivono in abitazione di proprietà,"Incidenza percentuale di lavoratori precari  35-64 anni che hanno un rapporto di lavoro dipendente di tipo ""interinale"" o ""occasionale"" sul totale degli occupati 35-64 anni","Uscita precoce dal sistema di istruzione (18-24 anni, totale) ",Indice di affollamento delle abitazioni occupate,Ospedali con pronto soccorso
106,CORSO B. CROCE N. 96 -edificio scolastico DEL PRETE,VI - Carrassi – San Pasquale,10,2,CORSO B. CROCE N. 96 ,4111.156167482151,1687.21680237597,4,1,0,Carrassi,1.242677824267783,0.3040752351097178,0.4974358974358974,32789,283.00418910831837,18.859983531062248,2.721876357318662,75.48259170700415,63.02773456359637,10.12816926031677,18.72492197949175,2.063983488132095,0.17713048612477858,8.490235060226874,24.554953560371516,1.1759675005345307,8.116084604033448,0.3846770769448507,0
107,CORSO B. CROCE N. 96 -edificio scolastico DEL PRETE,VI - Carrassi – San Pasquale,10,2,CORSO B. CROCE N. 96 ,4111.156167482151,1687.21680237597,3,1,0,Carrassi,1.04602510460251,0.225705329153605,0.4,32789,283.00418910831837,18.859983531062248,2.721876357318662,75.48259170700415,63.02773456359637,10.12816926031677,18.72492197949175,2.063983488132095,0.17713048612477858,8.490235060226874,24.554953560371516,1.1759675005345307,8.116084604033448,0.3846770769448507,0
108,CORSO B. CROCE N. 96 -edificio scolastico DEL PRETE,VI - Carrassi – San Pasquale,10,2,CORSO B. CROCE N. 96 ,4111.156167482151,1687.21680237597,1,1,0,Carrassi,0.5397489539748954,0.1598746081504702,0.2871794871794872,32789,283.00418910831837,18.859983531062248,2.721876357318662,75.48259170700415,63.02773456359637,10.12816926031677,18.72492197949175,2.063983488132095,0.17713048612477858,8.490235060226874,24.554953560371516,1.1759675005345307,8.116084604033448,0.3846770769448507,0
109,CORSO BENEDETTO CROCE N. 96 -edificio scolastico DEL PRETE-,VI - Carrassi – San Pasquale,10,2,CORSO BENEDETTO CROCE N. 96 ,4111.156167482151,1687.21680237597,5,1,0,Carrassi,0.8158995815899581,0.1661442006269593,0.1692307692307692,32789,283.00418910831837,18.859983531062248,2.721876357318662,75.48259170700415,63.02773456359637,10.12816926031677,18.72492197949175,2.063983488132095,0.17713048612477858,8.490235060226874,24.554953560371516,1.1759675005345307,8.116084604033448,0.3846770769448507,0
110,CEGLIE DEL CAMPO-VIA ANGELANTONIO QUARANTA N. 8-sc media,IV - Carbonara – Ceglie del Campo – Loseto,35,4,VIA ANGELANTONIO QUARANTA N. 8,4106.47528662306,1687.21113102639,6,3,3,Ceglie del Campo,0.8744769874476988,0.4733542319749217,0.2615384615384616,7467,177.7262180974478,21.802598098299182,3.6440677966101696,58.04504295333178,56.81190223166844,12.110081266275301,22.487644151565075,2.2712310730743908,0.23148148148148145,10.557620817843866,41.40882159315339,1.9597989949748744,14.233576642335766,0.4978233206081307,0
111,CEGLIE DEL CAMPO-VIA ANGELANTONIO  QUARANTA n. 8 -scuola media-,IV - Carbonara – Ceglie del Campo – Loseto,35,4,VIA ANGELANTONIO  QUARANTA n. 8 ,4106.47852230034,1687.2089852593,6,3,3,Ceglie del Campo,0.9874476987447699,0.3448275862068966,0.282051282051282,7467,177.7262180974478,21.802598098299182,3.6440677966101696,58.04504295333178,56.81190223166844,12.110081266275301,22.487644151565075,2.2712310730743908,0.23148148148148145,10.557620817843866,41.40882159315339,1.9597989949748744,14.233576642335766,0.4978233206081307,0
112,CEGLIE DEL CAMPO-VIA ANGELANTONIO QUARANTA N. 8-sc media,IV - Carbonara – Ceglie del Campo – Loseto,35,4,VIA ANGELANTONIO QUARANTA N. 8,4106.47852230034,1687.2089852593,6,3,3,Ceglie del Campo,0.5648535564853556,0.3322884012539185,0.2717948717948718,7467,177.7262180974478,21.802598098299182,3.6440677966101696,58.04504295333178,56.81190223166844,12.110081266275301,22.487644151565075,2.2712310730743908,0.23148148148148145,10.557620817843866,41.40882159315339,1.9597989949748744,14.233576642335766,0.4978233206081307,0
113,CEGLIE DEL CAMPO-VIA ANGELANTONIO QUARANTA N. 8 -sc media,IV - Carbonara – Ceglie del Campo – Loseto,35,4,VIA ANGELANTONIO QUARANTA N. 8 ,4106.47852230034,1687.2089852593,6,3,3,Ceglie del Campo,0.7196652719665272,0.3072100313479624,0.2051282051282051,7467,177.7262180974478,21.802598098299182,3.6440677966101696,58.04504295333178,56.81190223166844,12.110081266275301,22.487644151565075,2.2712310730743908,0.23148148148148145,10.557620817843866,41.40882159315339,1.9597989949748744,14.233576642335766,0.4978233206081307,0
114,VIA MELO N. 244 -liceo scientifico-SCACCHI,IX - Murat – San Nicola,1,1,VIA MELO N. 244 ,4111.90894518057,1687.19906832792,3,1,0,Murat,0.4895397489539749,0.1630094043887147,0.09743589743589744,23141,248.22415153906866,20.007778401970526,5.034095467308464,76.6876687668767,64.81258467559837,9.724664814101507,19.07996295152825,2.3231712583124624,0.26366672525927226,9.985959985959985,30.693496847741603,0.6982046166999145,11.708645336963922,0.3520652040691261,0
115,VIA MELO N. 244 -liceo scientifico-SCACCHI,IX - Murat – San Nicola,1,1,VIA MELO N. 244 ,4111.92672667333,1687.19584967728,3,1,0,Murat,0.7573221757322176,0.1943573667711599,0.1435897435897436,23141,248.22415153906866,20.007778401970526,5.034095467308464,76.6876687668767,64.81258467559837,9.724664814101507,19.07996295152825,2.3231712583124624,0.26366672525927226,9.985959985959985,30.693496847741603,0.6982046166999145,11.708645336963922,0.3520652040691261,0
