Candidato,Voti,Lista,COALIZIONE
BALENA GAETANO,67,SCIACOVELLI SINDACO - CI PIACE!,4
CRESPO CORREOSO ANA IRENE,66,ROMITO SINDACO,2
CIONFOLI NOEMI,66,LAFORGIA SINDACO,3
LISCO VIRGINIA MARIA,66,GENERAZIONE URBANA,3
IUSCO MAURIZIO,65,PD,1
GATTI LUISA,65,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
SURICO MARIA,65,BARI CITTA' D'EUROPA,3
DEL CORE VITO,64,CON LECCESE SINDACO,1
PERNA TERESA,64,BARI BENE COMUNE,3
CATACCHIO GIOVANNA,64,BARI CITTA' D'EUROPA,3
COCCORESE DANIELA,63,CON LECCESE SINDACO,1
VENTRELLA ROSITA,63,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
MORELLI GIUSEPPE,63,BARI BENE COMUNE,3
VESSIO IVANO,63,PROGETTO BARI CON LECCESE,1
CARADONNA MOSCATELLI PAOLO ALFONSO,63,BARI X FABIO ROMITO,2
LEPORE GIOVANNI,63,OLTRE MANGANO SINDACO,4
DONADEI VIVIANA,62,CON LECCESE SINDACO,1
SOGLIA GABRIELLA,62,FORZA ITALIA,2
GALLICO CESARE,61,PD,1
DI BARI CRESCENZIO,61,DECARO PER BARI,1
DIOGUARDI GIUSEPPE,61,CON LECCESE SINDACO,1
SCATTAGLIA SAVERIO,60,CON LECCESE SINDACO,1
SINESI ROSARIA,59,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
CIOCE MICHELE,59,FORZA ITALIA,2
GIRONE ANTONIA,59,BARI CITTA' D'EUROPA,3
MASSARI ELENA,58,FORZA ITALIA,2
TIERI ANDREA,58,FORZA ITALIA,2
VIRGILIO GIUSEPPE,58,BARI CITTA' D'EUROPA,3
CHIMENTI GAETANA,58,MARIO CONCA PER BARI,2
PATRUNO GILDA,57,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
MOSCHETTI NICOLA,56,LIBERALI E RIFORMISTI - nPSI,2
DESIDERATO ALESSANDRA,55,LECCESE SINDACO,1
CORAZZA ELENA,55,PROGETTO BARI CON LECCESE,1
ROSITANI LUCIO,55,PROGETTO BARI CON LECCESE,1
MACINAGROSSA LEONARDO,55,BARI X FABIO ROMITO,2
BALDASSARRE ALESSANDRO,55,NOI POPOLARI,1
CALABRESE DOMENICA,54,CON LECCESE SINDACO,1
DINARDO EUFEMIA,54,FORZA ITALIA,2
FLORIO NASTASIA,54,SCIACOVELLI SINDACO - CI PIACE!,4
IANNONE PAOLO,54,SCIACOVELLI SINDACO - CI PIACE!,4
GADALETA ILARIA,53,PD,1
VACCA TIZIANA,53,FORZA ITALIA,2
CALLEA FILIPPO,53,MARIO CONCA PER BARI,2
CARELLA ANNAMARIA,52,PD,1
FERRARA MIRENZI GIULIA,52,GENERAZIONE URBANA,3
DE MARCO GIULIA,51,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
SEBASTIANI DANIELA,51,PROGETTO BARI CON LECCESE,1
FASANO ASCENZA LOREDANA,50,LECCESE SINDACO,1
BRUNO PATRIZIA,49,PD,1
NACCI GIORGIA,49,ROMITO SINDACO,2
SIFANNO PAOLO,49,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
MORETTI FRANCESCA,49,BARI BENE COMUNE,3
ANTONICELLI FRANCESCO PAOLO,49,NOI MODERATI,2
LIPPOLIS MONICA,48,LECCESE SINDACO,1
FORNARELLI TERESA,47,ROMITO SINDACO,2
BOTTALICO GIOVANNI LUCA,47,CON LECCESE SINDACO,1
MELLONE GIANFILIPPO,47,M5S,3
PISCOPO GIOVANNI,47,PROGETTO BARI CON LECCESE,1
DE RUVO MARIO,47,EUROPA VERDE - VERDI,1
CORALLO FRANCESCO,47,PENSIONATI E INVALIDI,2
ABBRESCIA ANGELO,46,CON LECCESE SINDACO,1
ABBALEO ANTONINO,46,M5S,3
FRANCO GRAZIA,46,LECCESE SINDACO,1
BUONO VALERIO,46,PROGETTO BARI CON LECCESE,1
BELCORE ROBERTA,46,LIBERALI E RIFORMISTI - nPSI,2
DI PAOLA AURELIO,45,FORZA ITALIA,2
SALOMONE MARCO,45,BARI X FABIO ROMITO,2
CURIONE ONOFRIO,44,FDI,2
MONNO ALESSANDRA,44,DECARO PER BARI,1
DE BENEDICTIS ANTONIETTA,44,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
DELL'OMO EVA,44,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
ROTA MARIA VITTORIA ANNA PAOLA,44,BARI BENE COMUNE,3
SARDONE VITO,44,BARI BENE COMUNE,3
D'AMBROSIO FRANCESCO,44,GENERAZIONE URBANA,3
FORNARELLI RICCARDO,44,MARIO CONCA PER BARI,2
IACONISI GIUSEPPE,43,DECARO PER BARI,1
SCELSI ANGELA,43,FORZA ITALIA,2
DE NAPOLI DANIELA,43,EUROPA VERDE - VERDI,1
SABATO OLIMPIA,42,FDI,2
RUTIGLIANO CIRO,42,CON LECCESE SINDACO,1
BARBA MARIAPIA,42,LAFORGIA SINDACO,3
FAVIA GRAZIANA,42,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
LAVERMICOCCA DONATO,42,BARI BENE COMUNE,3
POLISENO ROSSANA,42,PROGETTO BARI CON LECCESE,1
CILIBERTI MARIA CHIARA,42,GENERAZIONE URBANA,3
SCHEPISI MATTIA,42,GENERAZIONE URBANA,3
MICUNCO GIOVANNI,41,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
PERRONE ANTONIO,41,BARI CITTA' D'EUROPA,3
BERARDI MARCO,41,GENERAZIONE URBANA,3
DE CHIRICO ANTONIO,40,FDI,2
D'AMATO CATERINA,40,DECARO PER BARI,1
IODICE LUCA,40,PROGETTO BARI CON LECCESE,1
DE LUISI MICHELE,40,GENERAZIONE URBANA,3
NATALE DOMENICO,40,GENERAZIONE URBANA,3
TRIGGIANI EMANUELE,40,GENERAZIONE URBANA,3
FIORE VALENTINA,40,LIBERALI E RIFORMISTI - nPSI,2
MOLINARI VITA FRANCESCA,40,LIBERALI E RIFORMISTI - nPSI,2
RONZULLO FRANCESCO SAVERIO,40,SCIACOVELLI SINDACO - CI PIACE!,4
GAZIDEDE ULJANA,39,PD,1
PORCELLI STEFANIA,39,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
IANNONE FRANCESCO,39,FORZA ITALIA,2
MATTIA CHIARA,39,BARI CITTA' D'EUROPA,3
CACUCCIOLO MADDALENA,39,BARI X FABIO ROMITO,2
SPINELLI MAURIZIO,39,SCIACOVELLI SINDACO - CI PIACE!,4
STANTE VINCENZO,38,LIBERALI E RIFORMISTI - nPSI,2
VIOLANTE FRANCESCO,38,PCI,3
ACCETTURA CESARIA,37,DECARO PER BARI,1
DIOMEDE NICOLA,37,CON LECCESE SINDACO,1
CORTONE MICHELE,37,LECCESE SINDACO,1
INTRANO' LORETA,37,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
MARI GIOVANNI,37,FORZA ITALIA,2
FILOMENO ALBA,37,PROGETTO BARI CON LECCESE,1
SALVO ELIANA,36,PD,1
RANIERI ANDREA CRISTIAN,36,ROMITO SINDACO,2
RENDINA PIETRO,36,M5S,3
TAIANO ANTONELLA,36,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
MARCHETTI LAURA,36,BARI BENE COMUNE,3
BUONO MASSIMILIANO,36,FORZA ITALIA,2
COLAIANNI FRANCESCA,36,FORZA ITALIA,2
RAINALDI GUGLIELMO,36,PROGETTO BARI CON LECCESE,1
ALTAMURA CARMINE ANDREA,35,LAFORGIA SINDACO,3
PISANI NICOLO',35,BARI CITTA' D'EUROPA,3
PORZIA MICHELE,35,BARI X FABIO ROMITO,2
DE VENUTO GIOVANNI,35,EUROPA VERDE - VERDI,1
BIANCOLILLO FEDERICA,35,GENERAZIONE URBANA,3
FUMAI GIUSEPPE,34,DECARO PER BARI,1
ANTONACCI ORIANA,34,ROMITO SINDACO,2
